,principal component 1,principal component 2,principal component 3,CancerType
0,-8.235434332879482,3.011053099221927,0.21296571080674945,Blood
1,-11.087556801644292,3.392565791703424,-0.8380392884114212,Blood
2,-10.553041407974893,2.053903589692476,-2.3591456579331442,Blood
3,-9.553600483626667,2.6242465262831467,0.006001165835481441,Blood
4,-9.426867434441593,3.6131261658228033,-0.5715118747508372,Blood
5,-11.161034789556906,3.9633828572840013,-1.5112036273541714,Blood
6,-10.619835944219185,3.4158224857971344,-0.7417951742977092,Blood
7,-9.052919155418731,2.6171561017357874,-0.6581677559054095,Blood
8,-13.283955772932465,5.777294976634539,-2.74908526134268,Blood
9,-7.043510728582759,1.9340488873449848,-1.0735477438863645,Blood
10,-10.198782290824306,2.432378426312264,2.155274645884121,Blood
11,-9.482349489585076,2.622542998631429,-1.7269762477275639,Blood
12,-14.951989892941047,5.77432694885612,-2.162457913965767,Blood
13,-7.663636402763911,1.4722274043673929,0.1640669036357993,Blood
14,-10.686459703669728,2.922769482090436,-1.3094840925113818,Blood
15,-12.119638068992009,3.893522434268773,-2.1667365343428497,Blood
16,-8.622024719367671,3.0302309743657183,-0.8698778342313764,Blood
17,-10.433268880724244,2.8750018200153535,-0.3738290277209314,Blood
18,-11.492358012752955,3.496650921949966,-3.2213932485334777,Blood
19,-10.850247282684164,4.6393618441535445,-2.6979311063091167,Blood
20,-14.627274786630444,8.365958025198973,-3.132322599907717,Blood
21,-11.141028647185134,3.6932232495288573,-0.638322700453669,Blood
22,-9.165760398446306,3.1391880697328225,-1.03957989443825,Blood
23,-12.393083575505848,4.263333257531186,-1.0625606185522305,Blood
24,-10.213037206019392,3.273582032558753,-0.7312092265505558,Blood
25,-13.833392388045892,4.929665054308887,-2.2974815260351424,Blood
26,-10.298754348315704,3.1492846868325564,-1.1328969340933839,Blood
27,-13.372430282351496,5.494181955044374,-2.658636438759067,Blood
28,-10.826442761074075,3.750021076000303,-1.5296016053843657,Blood
29,-8.870048188264116,2.16355077475388,0.319481406428008,Blood
30,-9.805302953604073,2.9657533599066306,-0.2218980737921487,Blood
31,-12.422416065854193,4.745610780467867,-1.3575617844158536,Blood
32,-11.382750701505705,2.859663577325604,-2.0658704995095767,Blood
33,-12.852360998391179,4.487848689862311,-3.1209380130317803,Blood
34,-15.751212506197337,6.800493357229563,-3.111111712064776,Blood
35,-11.560561351737062,3.938581954107817,-0.4501142111956589,Blood
36,-8.48270024220658,2.3613793075937806,-0.8162805640977157,Blood
37,-7.78886187573709,1.8001549822705327,0.30461810359971775,Blood
38,-16.476089400161424,6.977009900908039,-2.917578613329379,Blood
39,-9.764592432560791,3.8715816482520884,-0.8120665970963742,Blood
40,-8.875222475931613,2.8924042178181475,-0.8650539779418402,Blood
41,-10.780683147682893,2.581857658521661,0.09504985063868517,Blood
42,-8.335873169216235,2.1203002660481176,-1.31710217395353,Blood
43,-15.174239537948802,6.14462483775182,0.2561658538074441,Blood
44,-9.684712881694097,3.023689629999919,-0.25703760029450906,Blood
45,-9.407978168343186,3.689395130606526,-0.3222837827942872,Blood
46,-11.014972730387658,3.6145126638151184,-1.8521323972473844,Blood
47,-11.423323926003839,3.6933865459701156,-1.0578374009657292,Blood
48,-8.104970000692589,2.263321143337998,0.3108006829662309,Blood
49,-11.220099319572004,3.9543633066949684,-1.1404688045518914,Blood
50,-9.995986351183786,2.792969276057498,0.3492338967005821,Blood
51,-9.798627174270305,2.538412511163548,0.4634289320274431,Blood
52,-8.380998198452389,1.2931572400463087,0.485563162967189,Blood
53,-11.398031317862465,4.053026714594401,-0.8514516610046677,Blood
54,-10.6107648211707,3.2346751903618074,-0.5644141271054849,Blood
55,-9.853127691918601,3.5859053148018223,-1.0954039030337501,Blood
56,-12.135869664681163,4.064527234236818,-1.0032845968555177,Blood
57,-11.355635951766477,2.450391995249999,-0.3927387039137745,Blood
58,-12.2765053778423,4.696564204911345,-2.2450437284678726,Blood
59,-11.642516336250779,4.215788643603755,-2.4776539706067786,Blood
